g,geracao,p,peso,v,valor,f,fitness
G:,0,peso:,3332,valor:,3421,fitness:,3421
G:,1,peso:,3413,valor:,3425,fitness:,3425
G:,2,peso:,3415,valor:,3453,fitness:,3453
G:,3,peso:,3404,valor:,3606,fitness:,3606
G:,4,peso:,3317,valor:,3632,fitness:,3632
G:,5,peso:,3287,valor:,3637,fitness:,3637
G:,6,peso:,3384,valor:,3735,fitness:,3735
G:,7,peso:,3384,valor:,3735,fitness:,3735
G:,8,peso:,3384,valor:,3735,fitness:,3735
G:,9,peso:,3406,valor:,3821,fitness:,3821
G:,10,peso:,3405,valor:,3863,fitness:,3863
G:,11,peso:,3435,valor:,3898,fitness:,3898
G:,12,peso:,3472,valor:,3956,fitness:,3956
G:,13,peso:,3475,valor:,3958,fitness:,3958
G:,14,peso:,3475,valor:,3958,fitness:,3958
G:,15,peso:,3474,valor:,3984,fitness:,3984
G:,16,peso:,3474,valor:,3984,fitness:,3984
G:,17,peso:,3474,valor:,3984,fitness:,3984
G:,18,peso:,3474,valor:,3984,fitness:,3984
G:,19,peso:,3474,valor:,3984,fitness:,3984
G:,20,peso:,3474,valor:,3984,fitness:,3984
G:,21,peso:,3474,valor:,3984,fitness:,3984
G:,22,peso:,3478,valor:,3988,fitness:,3988
G:,23,peso:,3451,valor:,4042,fitness:,4042
G:,24,peso:,3451,valor:,4042,fitness:,4042
G:,25,peso:,3451,valor:,4042,fitness:,4042
G:,26,peso:,3451,valor:,4042,fitness:,4042
G:,27,peso:,3451,valor:,4042,fitness:,4042
G:,28,peso:,3454,valor:,4049,fitness:,4049
G:,29,peso:,3430,valor:,4124,fitness:,4124
G:,30,peso:,3430,valor:,4124,fitness:,4124
G:,31,peso:,3443,valor:,4172,fitness:,4172
G:,32,peso:,3443,valor:,4172,fitness:,4172
G:,33,peso:,3452,valor:,4210,fitness:,4210
G:,34,peso:,3452,valor:,4210,fitness:,4210
G:,35,peso:,3452,valor:,4210,fitness:,4210
G:,36,peso:,3455,valor:,4212,fitness:,4212
