g,geracao,p,peso,v,valor,f,fitness
G:,117,peso:,17208,valor:,19967,fitness:,19967
G:,118,peso:,17205,valor:,20049,fitness:,20049
G:,119,peso:,17303,valor:,20072,fitness:,20072
G:,120,peso:,17280,valor:,20118,fitness:,20118
G:,121,peso:,17280,valor:,20118,fitness:,20118
G:,122,peso:,17303,valor:,20142,fitness:,20142
G:,123,peso:,17330,valor:,20162,fitness:,20162
G:,124,peso:,17330,valor:,20162,fitness:,20162
G:,125,peso:,17330,valor:,20162,fitness:,20162
G:,126,peso:,17330,valor:,20162,fitness:,20162
G:,127,peso:,17313,valor:,20215,fitness:,20215
G:,128,peso:,17313,valor:,20215,fitness:,20215
G:,129,peso:,17313,valor:,20215,fitness:,20215
G:,130,peso:,17313,valor:,20215,fitness:,20215
G:,131,peso:,17313,valor:,20215,fitness:,20215
G:,132,peso:,17313,valor:,20215,fitness:,20215
G:,133,peso:,17313,valor:,20215,fitness:,20215
G:,134,peso:,17313,valor:,20215,fitness:,20215
G:,135,peso:,17313,valor:,20215,fitness:,20215
G:,136,peso:,17313,valor:,20215,fitness:,20215
G:,137,peso:,17313,valor:,20215,fitness:,20215
G:,138,peso:,17312,valor:,20256,fitness:,20256
G:,139,peso:,17307,valor:,20306,fitness:,20306
G:,140,peso:,17307,valor:,20306,fitness:,20306
G:,141,peso:,17307,valor:,20306,fitness:,20306
G:,142,peso:,17307,valor:,20306,fitness:,20306
G:,143,peso:,17307,valor:,20306,fitness:,20306
G:,144,peso:,17307,valor:,20306,fitness:,20306
G:,145,peso:,17222,valor:,20336,fitness:,20336
G:,146,peso:,17157,valor:,20382,fitness:,20382
G:,147,peso:,17214,valor:,20428,fitness:,20428
G:,148,peso:,17327,valor:,20431,fitness:,20431
G:,149,peso:,17115,valor:,20456,fitness:,20456
G:,150,peso:,17115,valor:,20456,fitness:,20456
G:,151,peso:,17115,valor:,20456,fitness:,20456
G:,152,peso:,17115,valor:,20456,fitness:,20456
G:,153,peso:,17244,valor:,20559,fitness:,20559
G:,154,peso:,17244,valor:,20559,fitness:,20559
G:,155,peso:,17244,valor:,20559,fitness:,20559
G:,156,peso:,17244,valor:,20559,fitness:,20559
G:,157,peso:,17244,valor:,20559,fitness:,20559
G:,158,peso:,17244,valor:,20559,fitness:,20559
G:,159,peso:,17244,valor:,20559,fitness:,20559
G:,160,peso:,17244,valor:,20559,fitness:,20559
G:,161,peso:,17244,valor:,20559,fitness:,20559
G:,162,peso:,17244,valor:,20559,fitness:,20559
G:,163,peso:,17244,valor:,20559,fitness:,20559
G:,164,peso:,17244,valor:,20559,fitness:,20559
G:,165,peso:,17335,valor:,20701,fitness:,20701
G:,166,peso:,17335,valor:,20701,fitness:,20701
G:,167,peso:,17335,valor:,20701,fitness:,20701
G:,168,peso:,17335,valor:,20701,fitness:,20701
G:,169,peso:,17335,valor:,20701,fitness:,20701
G:,170,peso:,17335,valor:,20701,fitness:,20701
G:,171,peso:,17335,valor:,20701,fitness:,20701
G:,172,peso:,17335,valor:,20701,fitness:,20701
G:,173,peso:,17335,valor:,20701,fitness:,20701
G:,174,peso:,17335,valor:,20701,fitness:,20701
G:,175,peso:,17335,valor:,20701,fitness:,20701
G:,176,peso:,17335,valor:,20701,fitness:,20701
G:,177,peso:,17335,valor:,20701,fitness:,20701
G:,178,peso:,17335,valor:,20701,fitness:,20701
G:,179,peso:,17335,valor:,20701,fitness:,20701
G:,180,peso:,17335,valor:,20701,fitness:,20701
G:,181,peso:,17335,valor:,20701,fitness:,20701
G:,182,peso:,17335,valor:,20701,fitness:,20701
G:,183,peso:,17335,valor:,20701,fitness:,20701
G:,184,peso:,17335,valor:,20701,fitness:,20701
G:,185,peso:,17335,valor:,20701,fitness:,20701
G:,186,peso:,17335,valor:,20701,fitness:,20701
G:,187,peso:,17335,valor:,20701,fitness:,20701
G:,188,peso:,17335,valor:,20701,fitness:,20701
G:,189,peso:,17298,valor:,20708,fitness:,20708
G:,190,peso:,17298,valor:,20708,fitness:,20708
G:,191,peso:,17298,valor:,20708,fitness:,20708
G:,192,peso:,17317,valor:,20726,fitness:,20726
G:,193,peso:,17300,valor:,20727,fitness:,20727
G:,194,peso:,17230,valor:,20756,fitness:,20756
G:,195,peso:,17230,valor:,20756,fitness:,20756
G:,196,peso:,17264,valor:,20806,fitness:,20806
G:,197,peso:,17264,valor:,20806,fitness:,20806
G:,198,peso:,17264,valor:,20806,fitness:,20806
G:,199,peso:,17264,valor:,20806,fitness:,20806
G:,200,peso:,17264,valor:,20806,fitness:,20806
G:,201,peso:,17264,valor:,20806,fitness:,20806
G:,202,peso:,17264,valor:,20806,fitness:,20806
G:,203,peso:,17264,valor:,20806,fitness:,20806
G:,204,peso:,17264,valor:,20806,fitness:,20806
G:,205,peso:,17264,valor:,20806,fitness:,20806
G:,206,peso:,17264,valor:,20806,fitness:,20806
G:,207,peso:,17264,valor:,20806,fitness:,20806
G:,208,peso:,17264,valor:,20806,fitness:,20806
G:,209,peso:,17264,valor:,20806,fitness:,20806
G:,210,peso:,17264,valor:,20806,fitness:,20806
G:,211,peso:,17264,valor:,20806,fitness:,20806
G:,212,peso:,17264,valor:,20806,fitness:,20806
G:,213,peso:,17264,valor:,20806,fitness:,20806
G:,214,peso:,17327,valor:,20864,fitness:,20864
G:,215,peso:,17327,valor:,20864,fitness:,20864
G:,216,peso:,17327,valor:,20864,fitness:,20864
G:,217,peso:,17327,valor:,20864,fitness:,20864
G:,218,peso:,17327,valor:,20864,fitness:,20864
G:,219,peso:,17327,valor:,20864,fitness:,20864
G:,220,peso:,17327,valor:,20864,fitness:,20864
G:,221,peso:,17327,valor:,20864,fitness:,20864
G:,222,peso:,17327,valor:,20864,fitness:,20864
G:,223,peso:,17327,valor:,20864,fitness:,20864
G:,224,peso:,17327,valor:,20864,fitness:,20864
G:,225,peso:,17327,valor:,20864,fitness:,20864
G:,226,peso:,17320,valor:,20869,fitness:,20869
G:,227,peso:,17320,valor:,20869,fitness:,20869
G:,228,peso:,17320,valor:,20869,fitness:,20869
G:,229,peso:,17320,valor:,20869,fitness:,20869
G:,230,peso:,17320,valor:,20869,fitness:,20869
G:,231,peso:,17332,valor:,20890,fitness:,20890
G:,232,peso:,17332,valor:,20890,fitness:,20890
G:,233,peso:,17264,valor:,20904,fitness:,20904
G:,234,peso:,17264,valor:,20904,fitness:,20904
G:,235,peso:,17222,valor:,20952,fitness:,20952
G:,236,peso:,17330,valor:,20986,fitness:,20986
G:,237,peso:,17330,valor:,20986,fitness:,20986
G:,238,peso:,17330,valor:,20986,fitness:,20986
G:,239,peso:,17330,valor:,20986,fitness:,20986
G:,240,peso:,17330,valor:,20986,fitness:,20986
G:,241,peso:,17330,valor:,20986,fitness:,20986
G:,242,peso:,17330,valor:,20986,fitness:,20986
G:,243,peso:,17330,valor:,20986,fitness:,20986
G:,244,peso:,17330,valor:,20986,fitness:,20986
